frame_idx,time_sec,active_side,left_elbow_angle,left_rep_count,left_good_form,left_rom_ok,left_torso_stable,left_elbow_near_torso,left_wrist_ok,left_messages,right_elbow_angle,right_rep_count,right_good_form,right_rom_ok,right_torso_stable,right_elbow_near_torso,right_wrist_ok,right_messages
139,4.633333333333334,left,8.153308024548734,0,True,True,True,True,True,Good curl mechanics in this frame.,40.401604045427035,0,True,True,True,True,True,Good curl mechanics in this frame.
140,4.666666666666667,left,7.576031599375455,0,True,True,True,True,True,Good curl mechanics in this frame.,42.262632366214774,0,True,True,True,True,True,Good curl mechanics in this frame.
141,4.7,left,6.770425343735867,0,True,True,True,True,True,Good curl mechanics in this frame.,44.29819491281601,0,True,True,True,True,True,Good curl mechanics in this frame.
142,4.733333333333333,left,5.842712495670069,0,True,True,True,True,True,Good curl mechanics in this frame.,46.294301307799486,0,True,True,True,True,True,Good curl mechanics in this frame.
143,4.766666666666667,left,4.97920823441579,0,True,True,True,True,True,Good curl mechanics in this frame.,48.29926035177575,0,True,True,True,True,True,Good curl mechanics in this frame.
144,4.8,left,4.005433003022133,0,True,True,True,True,True,Good curl mechanics in this frame.,50.4476465586526,0,True,True,True,True,True,Good curl mechanics in this frame.
145,4.833333333333333,left,3.4056586965087043,0,True,True,True,True,True,Good curl mechanics in this frame.,52.71906250154976,0,True,True,True,True,True,Good curl mechanics in this frame.
146,4.866666666666666,left,2.94404856135594,0,True,True,True,True,True,Good curl mechanics in this frame.,55.142084792330515,0,True,True,True,True,True,Good curl mechanics in this frame.
147,4.9,left,2.6061759785050946,0,True,True,True,True,True,Good curl mechanics in this frame.,57.533459377056374,0,True,True,True,True,True,Good curl mechanics in this frame.
148,4.933333333333334,left,2.095895520232055,0,True,True,True,True,True,Good curl mechanics in this frame.,60.10762621667478,0,True,True,True,True,True,Good curl mechanics in this frame.
149,4.966666666666667,left,1.5724701771684073,0,True,True,True,True,True,Good curl mechanics in this frame.,62.72590870429368,0,True,True,True,True,True,Good curl mechanics in this frame.
150,5.0,left,1.8348077651136572,0,True,True,True,True,True,Good curl mechanics in this frame.,65.48510508391895,0,True,True,True,True,True,Good curl mechanics in this frame.
151,5.033333333333333,left,2.804169433552815,0,True,True,True,True,True,Good curl mechanics in this frame.,68.31055643675421,0,True,True,True,True,True,Good curl mechanics in this frame.
152,5.066666666666666,left,3.6076821181391887,0,True,True,True,True,True,Good curl mechanics in this frame.,71.36690877903497,0,False,False,True,True,True,Increase curl depth for better range of motion.
153,5.1,left,6.419836365734905,0,True,True,True,True,True,Good curl mechanics in this frame.,74.76172282277402,0,False,False,True,True,True,Increase curl depth for better range of motion.
154,5.133333333333334,left,8.526167262280259,0,True,True,True,True,True,Good curl mechanics in this frame.,78.13424444878197,0,False,False,True,True,True,Increase curl depth for better range of motion.
155,5.166666666666667,left,11.208857712980652,0,True,True,True,True,True,Good curl mechanics in this frame.,81.44862520672135,0,False,False,True,True,True,Increase curl depth for better range of motion.
156,5.2,left,15.397258272432644,0,True,True,True,True,True,Good curl mechanics in this frame.,84.95688687373912,0,False,False,True,True,True,Increase curl depth for better range of motion.
157,5.233333333333333,left,23.22177780694443,0,True,True,True,True,True,Good curl mechanics in this frame.,88.45318017763219,0,False,False,True,True,True,Increase curl depth for better range of motion.
158,5.266666666666667,left,26.310750602394194,0,True,True,True,True,True,Good curl mechanics in this frame.,92.14550570917335,0,False,False,True,True,True,Increase curl depth for better range of motion.
159,5.3,left,28.715923633095397,0,True,True,True,True,True,Good curl mechanics in this frame.,95.60803098483908,0,False,False,True,True,True,Increase curl depth for better range of motion.
160,5.333333333333333,left,30.67099448607125,0,True,True,True,True,True,Good curl mechanics in this frame.,99.17913289444095,0,False,False,True,True,True,Increase curl depth for better range of motion.
161,5.366666666666666,left,41.28744169471388,0,True,True,True,True,True,Good curl mechanics in this frame.,103.08116797494365,0,False,False,True,True,True,Increase curl depth for better range of motion.
162,5.4,left,52.090264868328326,0,True,True,True,True,True,Good curl mechanics in this frame.,106.94943030163913,0,False,False,True,True,True,Increase curl depth for better range of motion.
163,5.433333333333334,left,65.53724967943413,0,True,True,True,True,True,Good curl mechanics in this frame.,111.07450238948803,0,False,False,True,True,True,Increase curl depth for better range of motion.
164,5.466666666666667,left,78.94466302343712,0,False,False,True,True,True,Increase curl depth for better range of motion.,115.13471204893919,0,False,False,True,True,True,Increase curl depth for better range of motion.
165,5.5,left,91.36541224054176,0,False,False,True,True,True,Increase curl depth for better range of motion.,118.91400573809159,0,False,False,True,True,True,Increase curl depth for better range of motion.
166,5.533333333333333,left,100.94538040178541,0,False,False,True,True,True,Increase curl depth for better range of motion.,122.43759415737425,0,False,False,True,True,True,Increase curl depth for better range of motion.
167,5.566666666666666,left,115.71356111331653,0,False,False,True,True,True,Increase curl depth for better range of motion.,125.8379338535351,0,False,False,True,True,True,Increase curl depth for better range of motion.
168,5.6,right,131.0879916544974,0,False,False,True,True,True,Increase curl depth for better range of motion.,129.21403650187247,0,False,False,True,True,True,Increase curl depth for better range of motion.
169,5.633333333333334,right,146.50579041825404,0,False,False,True,True,True,Increase curl depth for better range of motion.,132.3852961113456,0,False,False,True,True,True,Increase curl depth for better range of motion.
170,5.666666666666667,right,153.5248881637091,0,True,True,True,True,True,Good curl mechanics in this frame.,134.85788629974365,0,False,False,True,True,True,Increase curl depth for better range of motion.
171,5.7,right,159.04118711346305,0,True,True,True,True,True,Good curl mechanics in this frame.,136.79006587720517,0,False,False,True,True,True,Increase curl depth for better range of motion.
